Slide,Slide tittle,Slide Subtittle,Layout,Chart Tittle,CDR source,KPI,Chart type,Legend,Filters,Grouping_Rows,Grouping_Columns
1,2025 Q4 Net check UK,"NSA CDR analysis\nBelfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",,,,,Preserved cover,,,,
2,Executive Summary,,,,,,Preserved summary,,,,
3,Netcheck Q4 scoring “Best network”. Drive city,,,,,,Not automated,,,,
4,Score breakdown,,,,,,Not automated,,,,
5,KPIs prioritization: gap Vodafone vs EE,,,,,,Not automated,,,,
6,KPIs prioritization: gap Three vs EE,,,,,,Not automated,,,,
7,7 cities analysis,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",,,,,Preserved section divider,,,,
8,Completed Call Ratio,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 1 column + Comments,,CDR-Voice,Call_Status,100% Stacked Vertical Bars,,"Session_Type: VoLTE, MultiRAB, WhatsApp, Operator: Vodafone, Three, EE",Operator-->Session Type-->Campaign,
9,Voice failures per Q/city,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 1 column + Comments,,CDR-Voice,Call_Status,Count Stacked Horizontal Bars,,"Call Status: Failed/Dropped; Session Type: VoLTE, MultiRAB, WhatsApp, Operator: Vodafone, Three, EE",Operator-->Campaign-->Session Type-->G Level 4,
10,Data failure,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 1 column + Comments,,CDR-Data,Test_Result,100% Stacked Vertical Bars,,"HTTP, Browsing, Video and YouTube tests, Operator: Vodafone, Three, EE",Test family,Operator × Campaign
11,Data failures - FDFS test,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 1 column + Comments,,CDR-Data,Test_Result,100% Stacked Vertical Bars,,"Test_Name contains FDFS, Operator: Vodafone, Three, EE",Test name,Direction × Operator × Campaign
12,POLQA AVG MOS (Multirab&volte),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,LQ,CDF Line,,"Call Status: Complete, Session_Type: CALL, MultiRAB CALL, Operator: Vodafone, Three, EE",Operator,Campaign
12,POLQA AVG MOS (Multirab&volte),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,Avg(LQ),Average Vertical Bars,,"Call Status: Complete, Session_Type: CALL, MultiRAB CALL, Operator: Vodafone, Three, EE",Operator,Campaign
13,POLQA AVG MOS (WhatsApp),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,LQ,CDF Line,,"Call Status: Complete, Session_Type: WhatsApp, Operator: Vodafone, Three, EE",Operator,Campaign
13,POLQA AVG MOS (WhatsApp),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,Avg(LQ),Average Vertical Bars,,"Call Status: Complete, Session_Type: WhatsApp, Operator: Vodafone, Three, EE",Operator,Campaign
14,POLQA <1.6,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,LQ<1.6 (%),100% Stacked Vertical Bars,,"Call Status: Complete, WhatsApp; LQ < 1.6 vs >= 1.6, Operator: Vodafone, Three, EE",Operator,Campaign
14,POLQA <1.6,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,LQ<1.6 (%),100% Stacked Vertical Bars,,"Call Status: Complete, VoLTE; LQ < 1.6 vs >= 1.6, Operator: Vodafone, Three, EE",Operator,Campaign
15,CST,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Voice,Call Setup Time,CDF Line,,"Call Status: Complete, Session_Type: VoLTE or MultiRAB, Operator: Vodafone, Three, EE",Operator,Campaign
15,CST,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Voice,AVG(Call Setup Time),Average Vertical Bars,,"Call Status: Complete, Session_Type: VoLTE or MultiRAB, Operator: Vodafone, Three, EE",Operator,Campaign
16,FDTT DL (7s),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Data,Mean Data Rate,CDF Line,,"Test Result: Completed, Test Name: FDTT http DL MT, Operator: Vodafone, Three, EE",Operator,Campaign
