Slide,Slide tittle,Slide Subtittle,Layout,Chart Tittle,CDR source,KPI,Chart type,Legend,Filters,Grouping_Rows,Grouping_Columns
1,NPPI Tech Forum\nVodafoneThree & Ericsson\n2026-08-06,2026 Q2 Net check 5G SA Campaign\nFinal Scoring and Gap Analysis\nCDR KPI Analysis,Title Page,,,,Title Slide,,,,
2,Agenda,,Title Only,,,,Transition Slide,,,,
3,Voice Failures,7 Cities,Title and 2 columns,,CDR-Voice,Call_Status,Count Stacked Horizontal Bars,,"Failed/Dropped; Classic call, MultiRAB, WhatsApp",Call family,Operator × Campaign
3,Voice Failures,7 Cities,Title and 2 columns,,CDR-Voice,Failure_Technology,Count Stacked Horizontal Bars,,"Failed/Dropped; Classic call, MultiRAB, WhatsApp",Call family,Failure technology × Operator × Campaign
4,Voice Failures (Vodafone UK),7 Cities,Title and 3 columns,,CDR-Voice,Call_Status,Count Stacked Horizontal Bars,,Failed/Dropped; Operator Vodafone UK,Call family,City × Campaign
4,Voice Failures (Vodafone UK),7 Cities,Title and 3 columns,,CDR-Voice,Failure_Technology,Count Stacked Horizontal Bars,,Failed/Dropped; Operator Vodafone UK,Call family,Failure technology × Campaign
4,Voice Failures (Vodafone UK),7 Cities,Title and 3 columns,,CDR-Voice,Failure_Category,Count Stacked Horizontal Bars,,Failed/Dropped; Operator Vodafone UK,Call family,Failure category × Campaign
5,Completed Call Ratio,7 cities,Title and 1 smaller column,,CDR-Voice,Call_Status,100% Stacked Vertical Bars,,"Classic call, MultiRAB, WhatsApp",Call family,Operator × Campaign
6,POLQA <1.6 Rate,7 cities,Title and 1 smaller column,,CDR-Speech,LQ,100% Stacked Vertical Bars,,LQ < 1.6 vs ≥ 1.6,Call family,Operator × Campaign
7,POLQA <1.6 Rate Vodafone (Whatsapp),7 cities,Title and 3 columns,,CDR-Speech,LQ,Threshold Stacked Vertical Bars,,Operator Vodafone UK; WhatsApp; LQ < 1.6; NR band,NR band,
7,POLQA <1.6 Rate Vodafone (Whatsapp),7 cities,Title and 3 columns,,CDR-Speech,LQ vs Playing_RSRP_NR_Avg,Scatter,,Operator Vodafone UK; WhatsApp; NR samples,Radio strength,LQ state
7,POLQA <1.6 Rate Vodafone (Whatsapp),7 cities,Title and 3 columns,,CDR-Speech,LQ vs 4G_RSRP_Avg_A,Scatter,,Operator Vodafone UK; WhatsApp; LTE samples,Radio strength,LQ state
8,POLQA <1.6 Rate Three UK (Whatsapp),7 cities,Title and 2 columns,,CDR-Speech,LQ,100% Stacked Vertical Bars,,Operator Three UK; WhatsApp; LQ < 1.6 vs ≥ 1.6,Campaign,
8,POLQA <1.6 Rate Three UK (Whatsapp),7 cities,Title and 2 columns,,CDR-Speech,LQ,CDF Line,,Operator Three UK; WhatsApp,Campaign,
9,POLQA Avg MOS,7 cities,Title and 8 Content,,CDR-Voice,POLQA_LQ_Avg,CDF Line,,Classic call or MultiRAB,Operator,Campaign
9,POLQA Avg MOS,7 cities,Title and 8 Content,,CDR-Voice,POLQA_LQ_Avg,Average Vertical Bars,,Classic call or MultiRAB,Operator,Campaign
9,POLQA Avg MOS,7 cities,Title and 8 Content,,CDR-Speech,LQ,CDF Line,,WhatsApp,Operator,Campaign
9,POLQA Avg MOS,7 cities,Title and 8 Content,,CDR-Speech,LQ,Average Vertical Bars,,WhatsApp,Operator,Campaign
10,POLQA Avg MOS,London,Title and 8 Content,,CDR-Voice,POLQA_LQ_Avg,CDF Line,,Classic call or MultiRAB; location London,Operator,Campaign
10,POLQA Avg MOS,London,Title and 8 Content,,CDR-Voice,POLQA_LQ_Avg,Average Vertical Bars,,Classic call or MultiRAB; location London,Operator,Campaign
10,POLQA Avg MOS,London,Title and 8 Content,,CDR-Speech,LQ,CDF Line,,WhatsApp; location London,Operator,Campaign
10,POLQA Avg MOS,London,Title and 8 Content,,CDR-Speech,LQ,Average Vertical Bars,,WhatsApp; location London,Operator,Campaign
11,Netcheck CDR Data Analysis,2026 Q2 NSA vs SA Campaign\n7 Cities and London,Title Only,,,,Transition Slide,,,,
12,FDFS Success Ratio,,Title and 2 columns,,CDR-Data,Test_Result,100% Stacked Vertical Bars,,FDFS; Direction DL; 7 cities,Operator,Campaign
12,FDFS Success Ratio,,Title and 2 columns,,CDR-Data,Test_Result,100% Stacked Vertical Bars,,FDFS; Direction UL; London,Operator,Campaign
13,FDFS DL Throughput,7 Cities,Title and 2 columns,,CDR-Data,Mean_Data_Rate,CDF Line,,FDFS; Direction DL,Operator,Campaign
13,FDFS DL Throughput,7 Cities,Title and 2 columns,,CDR-Data,Data_Test_Duration,Average Vertical Bars,,FDFS; Direction DL,Operator,Campaign
14,FDFS UL Throughput,7 Cities,Title and 2 columns,,CDR-Data,Mean_Data_Rate,CDF Line,,FDFS; Direction UL,Operator,Campaign
14,FDFS UL Throughput,7 Cities,Title and 2 columns,,CDR-Data,Data_Test_Duration,Average Vertical Bars,,FDFS; Direction UL,Operator,Campaign
15,FDTT DL and UL Throughput,7 Cities,Title and 2 columns,,CDR-Data,FDTT_Sustainable_MDR,CDF Line,,FDTT; Directions DL and UL,Operator,Campaign
15,FDTT DL and UL Throughput,7 Cities,Title and 2 columns,,CDR-Data,FDTT_Sustainable_MDR,Distribution Stacked Vertical Bars,,FDTT; Directions DL and UL; template rate buckets,Operator,Campaign × Rate bucket
16,Interactivity KPIs,7 Cities,Title and 8 Content,,CDR-Data,Interactivity_RTT_Median,CDF Line,,Interactivity tests,Operator,Campaign
16,Interactivity KPIs,7 Cities,Title and 8 Content,,CDR-Data,Interactivity_RTT_Median,Median Vertical Bars,,Interactivity tests,Operator,Campaign
16,Interactivity KPIs,7 Cities,Title and 8 Content,,CDR-Data,Interactivity_Packet_Error_Ratio,CDF Line,,Interactivity tests,Operator,Campaign
16,Interactivity KPIs,7 Cities,Title and 8 Content,,CDR-Data,Interactivity_Packet_Error_Ratio,Average Vertical Bars,,Interactivity tests,Operator,Campaign
17,Browsing Time to 1MB,7 cities,Title and 2 columns,,CDR-Data,http_Browser_1MB_Reached_Duration,CDF Line,,Browsing/HTTP tests,Operator,Campaign
17,Browsing Time to 1MB,7 cities,Title and 2 columns,,CDR-Data,http_Browser_1MB_Reached_Duration,Average Vertical Bars,,Browsing/HTTP tests,Operator,Campaign
18,Conclusions,,Title Only,,,,Transition Slide,,,,
